Policy ID,Age,Gender,Vehicle Type,Fuel Type,City Tier,NCB,Vehicle Age,IDV,Exposure,Claims,Claim Amount,Accident Type,Weather,Fraud Flag
NS-02038,29,Female,Hatchback,Diesel,Tier 3,35,15,669000,1.0,0,,,,0
NS-01979,50,Female,Two-Wheeler,Petrol,Tier 3,0,14,145000,1.0,0,,,,0
NS-00856,53,Female,Sedan,Petrol,Tier 1,0,15,1199000,1.0,0,,,,0
NS-01720,37,Female,Sedan,Diesel,Tier 2,50,8,1199000,1.0,0,,,,0
NS-02020,36,Female,Hatchback,Petrol,Tier 3,0,7,381000,1.0,0,,,,0
NS-00135,58,Male,SUV,Diesel,Tier 1,35,12,1173000,1.0,0,,,,0
NS-01376,43,Male,Two-Wheeler,Petrol,Tier 2,45,11,154000,1.0,0,,,,0
NS-01712,44,Female,Sedan,Petrol,Tier 2,35,4,706000,1.0,0,,,,0
NS-01290,42,Male,Two-Wheeler,Petrol,Tier 2,25,13,178000,1.0,0,,,,0
NS-01069,45,Female,Sedan,Diesel,Tier 2,0,8,718000,1.0,0,,,,0
NS-01710,51,Male,Two-Wheeler,Petrol,Tier 2,20,3,176000,1.0,0,,,,0
NS-00112,30,Female,Hatchback,Diesel,Tier 1,0,1,695000,1.0,0,,,,0
NS-01199,57,Male,SUV,CNG,Tier 2,20,7,1409000,1.0,0,,,,0
NS-01511,29,Male,Two-Wheeler,CNG,Tier 2,45,4,159000,1.0,0,,,,0
NS-01908,63,Female,Two-Wheeler,CNG,Tier 3,20,1,91000,1.0,0,,,,0
NS-01790,25,Female,Sedan,Petrol,Tier 2,0,8,995000,1.0,0,,,,0
NS-00180,36,Male,Sedan,CNG,Tier 1,0,7,884000,1.0,0,,,,0
NS-01826,63,Male,SUV,Diesel,Tier 3,20,7,2065000,1.0,0,,,,0
NS-01522,50,Female,SUV,Diesel,Tier 2,45,7,1755000,1.0,0,,,,0
NS-01566,26,Male,Hatchback,Petrol,Tier 2,0,3,446000,1.0,0,,,,0
NS-01011,43,Male,SUV,Diesel,Tier 2,25,9,1844000,1.0,0,,,,0
NS-02159,65,Female,SUV,Petrol,Tier 3,50,8,921000,1.0,0,,,,0
NS-01026,33,Male,SUV,Petrol,Tier 2,35,15,1305000,1.0,0,,,,0
NS-02153,63,Male,Hatchback,Petrol,Tier 3,0,2,657000,1.0,0,,,,0
NS-01353,61,Male,Two-Wheeler,Petrol,Tier 2,25,2,196000,1.0,0,,,,0
NS-00528,21,Female,Two-Wheeler,Diesel,Tier 1,45,15,152000,1.0,0,,,,0
NS-01317,24,Female,Two-Wheeler,Petrol,Tier 2,0,1,194000,1.0,0,,,,0
NS-01740,29,Female,SUV,Petrol,Tier 2,20,3,1349000,1.0,0,,,,0
NS-01302,50,Male,Two-Wheeler,Diesel,Tier 2,20,12,183000,1.0,0,,,,0
NS-02055,43,Female,Sedan,Petrol,Tier 3,25,3,994000,1.0,0,,,,0
NS-01791,27,Female,SUV,Petrol,Tier 2,25,1,1550000,1.0,0,,,,0
NS-01117,63,Male,Sedan,Petrol,Tier 2,25,15,1036000,1.0,0,,,,0
NS-02025,22,Female,Two-Wheeler,Diesel,Tier 3,0,14,79000,1.0,0,,,,0
NS-01197,39,Female,Hatchback,Diesel,Tier 2,45,4,435000,1.0,0,,,,0
NS-01191,38,Male,Sedan,Petrol,Tier 2,20,0,620000,1.0,1,36900.0,Collision,Rain,0
NS-02096,23,Male,Hatchback,Petrol,Tier 3,35,9,442000,1.0,0,,,,0
NS-00219,38,Female,Hatchback,Electric,Tier 1,0,2,582000,1.0,0,,,,0
NS-00464,52,Male,Sedan,CNG,Tier 1,0,2,718000,1.0,1,78400.0,Collision,Clear,0
NS-00519,28,Male,SUV,Petrol,Tier 1,25,6,1439000,1.0,0,,,,0
NS-00975,42,Male,Two-Wheeler,Diesel,Tier 1,50,12,94000,1.0,0,,,,0
NS-00446,58,Female,Hatchback,Petrol,Tier 1,20,4,540000,1.0,0,,,,0
NS-01303,24,Female,Sedan,Petrol,Tier 2,20,0,1072000,1.0,0,,,,0
NS-00765,35,Male,Hatchback,Petrol,Tier 1,25,6,356000,1.0,0,,,,0
NS-00576,25,Male,Hatchback,Diesel,Tier 1,0,4,627000,1.0,0,,,,0
NS-00057,40,Female,SUV,CNG,Tier 1,25,7,1296000,1.0,0,,,,0
NS-01118,62,Male,Sedan,Diesel,Tier 2,35,9,1057000,1.0,0,,,,0
NS-02015,63,Male,SUV,Petrol,Tier 3,0,6,952000,1.0,0,,,,0
NS-02133,42,Female,Hatchback,Petrol,Tier 3,35,0,391000,1.0,0,,,,0
NS-02253,63,Male,Two-Wheeler,Diesel,Tier 3,20,1,122000,1.0,0,,,,0
NS-01106,62,Female,Sedan,CNG,Tier 2,35,14,1144000,1.0,0,,,,0
NS-01092,29,Female,Hatchback,Petrol,Tier 2,35,6,502000,1.0,0,,,,0
NS-01674,49,Male,Sedan,Petrol,Tier 2,20,6,1097000,1.0,0,,,,0
NS-00423,23,Female,Hatchback,CNG,Tier 1,50,10,623000,1.0,0,,,,0
NS-01823,44,Male,Sedan,Petrol,Tier 3,0,8,796000,1.0,0,,,,0
NS-01943,47,Male,Sedan,CNG,Tier 3,35,11,907000,1.0,0,,,,0
NS-02277,55,Male,Hatchback,Petrol,Tier 3,0,12,408000,1.0,0,,,,0
NS-02351,44,Female,Two-Wheeler,Diesel,Tier 3,20,8,162000,1.0,0,,,,0
NS-01436,61,Female,Hatchback,Electric,Tier 2,25,0,447000,1.0,0,,,,0
